Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	114.5561
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	114.0894
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	111.5385
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	161.8542
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	110.6446
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	108.3017
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	110.473
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	111.0562
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	320.3786
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	480.9296
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	330.6181
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2373.3403
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1035.4853
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.2027
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2312.5410
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1035.2469
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.2003
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.3688
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4768
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4776
BANDHAN Banking & PSU Debt Fund - Direct Growth	22.1398
BANDHAN Banking & PSU Debt Fund - Direct IDCW	11.6466
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4442
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	10.7266
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.3736
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8788
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6305
BANDHAN Banking & PSU Debt Fund - Regular Growth	21.6224
BANDHAN Banking & PSU Debt Fund - Regular IDCW	11.6760
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.6865
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	10.6358
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.1930
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	11.2113
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.2534
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	11.0429
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.1063
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.1163
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	10.6637
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.3996
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	10.6277
